"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2022","5,390.0","5,450.0","5,450.0","5,380.0","291.00K","0.37%"
"09/09/2022","5,370.0","5,450.0","5,450.0","5,340.0","774.30K","0.37%"
"09/08/2022","5,350.0","5,260.0","5,370.0","5,230.0","549.70K","2.49%"
"09/07/2022","5,220.0","5,110.0","5,230.0","5,110.0","554.60K","-1.69%"
"09/06/2022","5,310.0","5,310.0","5,350.0","5,280.0","212.70K","0.00%"
"09/05/2022","5,310.0","5,350.0","5,360.0","5,300.0","285.60K","-0.93%"
"09/02/2022","5,360.0","5,340.0","5,380.0","5,300.0","325.80K","0.75%"
"09/01/2022","5,320.0","5,360.0","5,370.0","5,280.0","473.70K","-2.56%"
"08/31/2022","5,460.0","5,360.0","5,470.0","5,350.0","539.00K","1.11%"
"08/30/2022","5,400.0","5,400.0","5,430.0","5,320.0","387.60K","-0.18%"
"08/29/2022","5,410.0","5,450.0","5,480.0","5,380.0","521.30K","-4.59%"
"08/26/2022","5,670.0","5,600.0","5,680.0","5,570.0","339.70K","2.72%"
"08/25/2022","5,520.0","5,580.0","5,580.0","5,510.0","246.70K","0.00%"
"08/24/2022","5,520.0","5,520.0","5,550.0","5,490.0","366.50K","-1.08%"
"08/23/2022","5,580.0","5,630.0","5,640.0","5,530.0","398.60K","-1.41%"
"08/22/2022","5,660.0","5,630.0","5,680.0","5,600.0","307.10K","-0.53%"
"08/19/2022","5,690.0","5,760.0","5,770.0","5,670.0","273.50K","0.53%"
"08/18/2022","5,660.0","5,750.0","5,750.0","5,660.0","292.30K","-2.75%"
"08/17/2022","5,820.0","5,780.0","5,840.0","5,760.0","490.10K","1.04%"
"08/16/2022","5,760.0","5,790.0","5,810.0","5,730.0","366.00K","0.35%"
"08/15/2022","5,740.0","5,680.0","5,750.0","5,650.0","328.00K","1.06%"
"08/12/2022","5,680.0","5,730.0","5,730.0","5,610.0","812.00K","2.71%"
"08/10/2022","5,530.0","5,510.0","5,550.0","5,500.0","356.00K","0.73%"
"08/09/2022","5,490.0","5,520.0","5,530.0","5,440.0","223.70K","0.00%"
"08/08/2022","5,490.0","5,450.0","5,510.0","5,400.0","332.90K","0.37%"
"08/05/2022","5,470.0","5,570.0","5,570.0","5,400.0","335.70K","-0.91%"
"08/04/2022","5,520.0","5,520.0","5,590.0","5,490.0","400.20K","-1.43%"
"08/03/2022","5,600.0","5,610.0","5,640.0","5,560.0","337.30K","0.54%"
"08/02/2022","5,570.0","5,610.0","5,610.0","5,550.0","290.00K","-2.11%"
"08/01/2022","5,690.0","5,700.0","5,700.0","5,620.0","279.70K","0.89%"
"07/29/2022","5,640.0","5,650.0","5,710.0","5,610.0","346.00K","0.71%"
"07/28/2022","5,600.0","5,610.0","5,630.0","5,550.0","347.00K","0.00%"
"07/27/2022","5,600.0","5,580.0","5,640.0","5,540.0","399.30K","-1.41%"
"07/26/2022","5,680.0","5,700.0","5,710.0","5,640.0","170.00K","-0.18%"
"07/25/2022","5,690.0","5,780.0","5,780.0","5,680.0","290.40K","-1.90%"
"07/22/2022","5,800.0","5,760.0","5,830.0","5,710.0","340.80K","0.87%"
"07/21/2022","5,750.0","5,680.0","5,750.0","5,650.0","391.40K","1.41%"
"07/20/2022","5,670.0","5,570.0","5,680.0","5,540.0","358.90K","3.66%"
